INSTNM,STABBR,REGION,ADM_RATE,UGDS,COSTT4_A,MD_EARN_WNE_P10,MD_EARN_WNE_P6,DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_4_POOLED_SUPP,RET_FT4_POOLED_SUPP,isNCF
Philander Smith College,AR,SE,,887,25499,24400,21400,12750,0.386892178,0.370588235,0.438095238,,0.3525,0.4144,0.6222,FALSE
Phillips Community College of the University of Arkansas,AR,SE,,654,10419,22400,18900,3000,0.321428571,0.239130435,,,,,,FALSE
Southeast Arkansas College,AR,SE,,1087,12380,26700,20700,4064,0.40239726,0.352941177,,,,,,FALSE
Professional Cosmetology Education Center,AR,SE,,28,,,,9833,0.410714286,0.380952381,,,,,,FALSE
University of Arkansas-Pulaski Technical College,AR,SE,,5184,14794,27700,22100,9000,0.415996554,0.394789579,0.478334749,0.560402685,,,,FALSE
University of Arkansas Community College-Hope,AR,SE,,1492,11775,24400,21300,2625,0.5,0.395348837,,,,,,FALSE
University of Arkansas Community College Rich Mountain,AR,SE,,481,10599,20800,18400,,,,,,,,,FALSE
Paul Mitchell the School-Arkansas,AR,SE,,106,,,14800,9833,0.71559633,0.68852459,,,,,,FALSE
Searcy Beauty College,AR,SE,,67,,13400,11600,8750,0.328358209,0.285714286,,,,,,FALSE
Shorter College,AR,SE,,521,21444,,,9500,0.247311828,,,,,,,FALSE
Williams Baptist University,AR,SE,0.6241,452,28274,33100,28400,11952,0.617424242,0.536363636,0.694444444,0.630434783,0.3844,0.4188,0.5892,FALSE
South Arkansas Community College,AR,SE,,1100,11306,29000,24500,7500,0.445350734,0.387387387,0.578125,0.658536585,,,,FALSE
Southern Arkansas University Main Campus,AR,SE,0.6945,3153,21252,35700,28200,9500,0.486507937,0.426997245,0.531680441,0.643274854,0.3567,0.3713,0.6579,FALSE
Southern Arkansas University Tech,AR,SE,,667,17339,26700,24000,4500,0.390123457,0.341818182,,,,,,FALSE
Velvatex College of Beauty Culture,AR,SE,,14,,,,,,,,,,,,FALSE
University of Arkansas-Fort Smith,AR,SE,,5455,16554,31000,28100,7388,0.516627078,0.429469274,0.606177606,0.690851735,0.2761,0.2967,0.6582,FALSE
Academy of Art University,CA,West,,7520,38666,38600,26900,12500,0.358793687,0.291492693,0.374871795,0.531202435,0.3814,0.3655,0.734,FALSE
Academy of Chinese Culture and Health Sciences,CA,West,,,,,,,,,,,,,,FALSE
The Academy of Radio and TV Broadcasting,CA,West,,14,,31000,25100,9500,0.265734266,0.231404959,,,,,,FALSE
Avalon School of Cosmetology-Alameda,CA,West,,125,,20000,19400,6212,0.29588015,0.270531401,,,,,,FALSE
College of Alameda,CA,West,,4458,15308,34200,24500,6000,0.275510204,0.217948718,,,,,,FALSE
Allan Hancock College,CA,West,,9282,10348,30400,24000,6000,0.291666667,0.242424242,,,,,,FALSE
American Academy of Dramatic Arts-Los Angeles,CA,West,0.7859,280,48240,32700,18600,12000,0.411347518,0.304054054,0.378787879,0.676470588,,,,FALSE
American Baptist Seminary of the West,CA,West,,,,,,,,,,,,,,FALSE
American Film Institute Conservatory,CA,West,,,,,,,,,,,,,,FALSE
American Beauty College,CA,West,,118,,,,4750,0.540816327,0.493975904,,,,,,FALSE
American Career College-Los Angeles,CA,West,,1237,,31800,24600,9500,0.34236015,0.305066947,0.443661972,0.50390625,,,,FALSE
American Conservatory Theater,CA,West,,1,48677,,,,,,,,,,,FALSE
American River College,CA,West,,29082,12098,32000,23200,6083,0.255821078,0.23115942,0.400473934,0.341463415,,,,FALSE
Antelope Valley College,CA,West,,11868,9926,27100,19600,5750,0.191915642,0.171015656,0.290909091,0.506329114,0.2627,,,FALSE
Art Center College of Design,CA,West,0.7036,1974,62312,53600,40300,29561,0.697183099,0.671916011,0.6875,0.76331361,0.7018,0.7213,0.8037,FALSE
Associated Technical College-Los Angeles,CA,West,,387,,23000,15000,9500,0.237476809,0.226744186,,,,,,FALSE
Associated Technical College-San Diego,CA,West,,80,,19600,16700,9500,0.197674419,,,,,,,FALSE
Azusa Pacific University,CA,West,0.6012,5560,49911,51100,42000,18500,0.639824706,0.493217054,0.640713706,0.748196248,0.6853,0.6909,0.8443,FALSE
Bakersfield College,CA,West,,18695,12027,29800,22400,5687,0.283667622,0.252491694,0.486725664,0.451612903,0.1945,,,FALSE
Barstow Community College,CA,West,,2762,14307,29900,19900,,,,,,,,,FALSE
Bellus Academy-Chula Vista,CA,West,,200,,18200,17100,9500,0.232824428,0.195238095,,,,,,FALSE
Bethesda University,CA,West,,257,20343,,,10500,0.380952381,,,,0.2371,0.7805,0.4355,FALSE
Biola University,CA,West,0.7198,4039,51154,44500,34500,19500,0.740301724,0.621276596,0.733001658,0.817369093,0.7262,0.7063,0.8544,FALSE
Brownson Technical School,CA,West,,51,,48400,39200,9458,0.62184874,0.561643836,,,,,,FALSE
Bryan University,AZ,SW,,1242,25480,31900,31100,10166,0.314059647,0.257009346,0.397647059,0.486486487,0.2429,,0.5294,FALSE
Butte College,CA,West,,10188,11717,31300,23800,6000,0.335475578,0.284543965,0.497109827,0.573248408,,,,FALSE
Phillips Graduate University,CA,West,,,,,,,,,,,,,,FALSE
California Institute of Integral Studies,CA,West,,50,,,31700,18750,0.4609375,0.43902439,,,,,,FALSE
